,car,starting_price,combined_mpg,expert_rating,consumer_rating
1663,Certified 2017 smart fortwo Hatchback,"$11,384",35 MPG,3.1 ,4.1 
1664,Certified 2017 smart fortwo electric drive cabrio Convertible,"$13,351",102 MPGe,3.1 ,5 
1665,Used 2014 Subaru Tribeca SUV,"$13,600",18 MPG,3.1 ,4.5 
1666,Certified 2017 smart fortwo cabrio Convertible,"$13,615",35 MPG,3.1 ,4.1 
1667,Certified 2017 Volkswagen Tiguan SUV,"$14,486",22 MPG,3.1 ,4.3 
1668,Certified 2017 Ford Taurus Sedan,"$14,777",21 MPG,3.1 ,4.6 
1669,Certified 2018 Mitsubishi Outlander Sport SUV,"$15,235",25 MPG,3.1 ,4.7 
1670,Certified 2018 Ford Taurus Sedan,"$15,803",21 MPG,3.1 ,4.6 
1671,Certified 2015 Volkswagen Eos Convertible,"$15,837",25 MPG,3.1 ,4.5 
1672,Certified 2018 Volkswagen Tiguan Limited SUV,"$16,292",23 MPG,3.1 ,4.3 
1673,Certified 2019 Mitsubishi Outlander Sport SUV,"$16,899",25 MPG,3.1 ,4.7 
1674,Certified 2015 Lexus GX SUV,"$28,500",17 MPG,3.1 ,4.4 
1675,Certified 2017 Toyota 4Runner SUV,"$29,550",18 MPG,3.1 ,4.6 
1676,Certified 2018 Toyota 4Runner SUV,"$31,850",18 MPG,3.1 ,4.6 
1677,New 2020 Toyota 4Runner SUV,"$37,240",17 MPG,3 ,4.6 
1678,New 2018 smart fortwo electric drive Hatchback,"$24,650",108 MPGe,3 ,5 
1679,New 2018 smart fortwo electric drive cabrio Convertible,"$28,850",102 MPGe,3 ,5 
1680,Certified 2018 Mitsubishi Mirage G4 Sedan,"$8,675",35 MPG,3 ,4.4 
1681,Used 2014 Mitsubishi Outlander SUV,"$8,849",27 MPG,3 ,4.6 
1682,Certified 2018 Mitsubishi Mirage Hatchback,"$10,648",39 MPG,3 ,4.8 
1683,Certified 2019 Mitsubishi Mirage G4 Sedan,"$11,001",35 MPG,3 ,4.4 
1684,Certified 2019 Mitsubishi Mirage Hatchback,"$11,037",36 MPG,3 ,4.8 
1685,Certified 2017 FIAT 500L Hatchback,"$11,700",25 MPG,3 ,4.5 
1686,Used 2014 Lincoln MKZ Sedan,"$12,091",21 MPG,3 ,4.6 
1687,Certified 2016 Dodge Journey SUV,"$12,650",19 MPG,3 ,3.7 
1688,Used 2015 Lincoln MKZ Sedan,"$12,982",21 MPG,3 ,4.6 
1689,Certified 2018 FIAT 500L Hatchback,"$13,897",25 MPG,3 ,4.5 
1690,Certified 2017 Dodge Journey SUV,"$14,050",19 MPG,3 ,3.7 
1691,Certified 2017 Jeep Patriot SUV,"$14,105",21 MPG,3 ,4.3 
1692,Used 2014 Lincoln MKX SUV,"$15,600",19 MPG,3 ,4.8 
1693,Certified 2019 Toyota 4Runner SUV,"$32,589",18 MPG,3 ,4.6 
1694,Certified 2014 Scion iQ Hatchback,"$8,065",37 MPG,2.9 ,4.5 
1695,Certified 2019 FIAT 500L Hatchback,"$16,500",25 MPG,2.9 ,4.5 
1696,Certified 2018 Dodge Journey SUV,"$16,600",19 MPG,2.9 ,3.7 
1697,Used 2015 Lincoln MKX SUV,"$17,650",19 MPG,2.9 ,4.8 
1698,Certified 2019 Dodge Journey SUV,"$18,800",19 MPG,2.9 ,3.7 
1699,Used 2015 Land Rover LR4 SUV,"$26,800",16 MPG,2.9 ,4.4 
1700,Certified 2015 Mercedes‑Benz G‑Class SUV,"$65,200",13 MPG,2.9 ,4.5 
1701,Certified 2016 Mercedes‑Benz G‑Class SUV,"$73,300",13 MPG,2.9 ,4.5 
1702,Certified 2014 Scion xD Hatchback,"$9,413",29 MPG,2.8 ,4.6 
1703,Certified 2015 Scion iQ Hatchback,"$9,712",37 MPG,2.8 ,4.5 
1704,Certified 2017 Mercedes‑Benz G‑Class SUV,"$80,400",13 MPG,2.8 ,4.5 
1705,Certified 2017 Mercedes‑Benz Mercedes‑AMG G‑Class SUV,"$93,700",13 MPG,2.8 ,4.5 
1706,Used 2014 Dodge Avenger Sedan,"$7,838",22 MPG,2.7 ,4.2 
1707,Used 2014 Chrysler 200 Sedan,"$7,995",22 MPG,2.7 ,4.3 
1708,Used 2014 Jeep Compass SUV,"$8,571",24 MPG,2.6 ,3.8 
1709,Used 2014 Jeep Patriot SUV,"$9,839",21 MPG,2.6 ,4.3 
1710,Used 2015 Jeep Patriot SUV,"$10,803",21 MPG,2.6 ,4.3 
1711,Used 2015 Jeep Compass SUV,"$11,023",21 MPG,2.6 ,3.8 
1712,Used 2014 Lincoln MKT SUV,"$15,331",18 MPG,2.6 ,4.6 
1713,Used 2015 Lincoln MKT SUV,"$16,750",19 MPG,2.6 ,4.6 
1714,Certified 2016 Mitsubishi i‑MiEV Hatchback,"$8,700",112 MPGe,2.5 ,4.7 
1715,Certified 2016 Jeep Patriot SUV,"$12,369",21 MPG,2.5 ,4.3 
1716,Certified 2016 Jeep Compass SUV,"$12,669",21 MPG,2.5 ,3.8 
1717,Certified 2017 Mitsubishi i‑MiEV Hatchback,"$11,561",112 MPGe,2.4 ,4.7 
1718,Used 2014 Mitsubishi Mirage Hatchback,"$4,845",37 MPG,2.2 ,4.8 
1719,Certified 2015 smart fortwo electric drive Hatchback,"$6,019",107 MPGe,1.6 ,4.3 
1720,Certified 2015 smart fortwo Hatchback,"$7,065",36 MPG,1.6 ,4.4 
