,car,starting_price,combined_mpg,expert_rating,consumer_rating
165,New 2019 Mercedes‑Benz Mercedes‑AMG CLA Sedan,"$54,095",26 MPG,4.6 ,4.6 
166,New 2019 Audi RS 3 Sedan,"$57,195",22 MPG,4.6 ,5 
167,New 2019 Porsche 718 Boxster Convertible,"$60,250",24 MPG,4.6 ,5 
168,New 2019 BMW M5 Sedan,"$104,695",17 MPG,4.6 ,5 
169,Certified 2015 MAZDA MAZDA3 Sedan,"$10,660",33 MPG,4.6 ,4.7 
170,Certified 2015 Honda Civic Coupe,"$10,998",31 MPG,4.6 ,4.5 
171,Used 2015 Hyundai Sonata Sedan,"$11,076",29 MPG,4.6 ,4.5 
172,Certified 2015 Chevrolet Impala Sedan,"$12,876",25 MPG,4.6 ,4.7 
173,Certified 2015 Toyota Camry Sedan,"$13,123",28 MPG,4.6 ,4.4 
174,Certified 2015 Subaru Forester SUV,"$13,278",25 MPG,4.6 ,4.3 
175,Certified 2018 Honda Fit Hatchback,"$14,052",31 MPG,4.6 ,4.5 
176,Certified 2016 Chevrolet Impala Sedan,"$14,174",25 MPG,4.6 ,4.7 
177,Certified 2015 Ford F150 Regular Cab Pickup,"$15,096",17 MPG,4.6 ,4.6 
178,Certified 2015 Toyota Sienna Van/Minivan,"$15,402",21 MPG,4.6 ,4.4 
179,Certified 2019 Toyota Corolla Sedan,"$15,514",32 MPG,4.6 ,4.2 
180,Certified 2019 Honda Fit Hatchback,"$15,900",36 MPG,4.6 ,4.5 
181,Used 2016 BMW 3 Series Sedan,"$16,461",28 MPG,4.6 ,4.5 
182,Certified 2015 Toyota RAV4 SUV,"$16,465",25 MPG,4.6 ,4.4 
183,Certified 2017 Honda Accord Sedan,"$16,650",26 MPG,4.6 ,4.4 
184,Certified 2016 Ford F150 Regular Cab Pickup,"$17,501",17 MPG,4.6 ,4.6 
185,Certified 2018 Honda HR‑V SUV,"$17,521",28 MPG,4.6 ,4.3 
186,Certified 2016 Honda Odyssey Van/Minivan,"$17,945",22 MPG,4.6 ,4.4 
187,Certified 2019 Honda Civic Sedan,"$18,087",32 MPG,4.6 ,4.4 
188,Certified 2015 Ford F150 Super Cab Pickup,"$18,122",17 MPG,4.6 ,4.6 
189,Certified 2017 FIAT 124 Spider Convertible,"$18,219",29 MPG,4.6 ,4.9 
190,Certified 2017 Chrysler Pacifica Van/Minivan,"$18,429",22 MPG,4.6 ,4.2 
191,Used 2016 BMW X1 SUV,"$18,689",26 MPG,4.6 ,4.2 
192,Certified 2016 BMW 2 Series Coupe,"$18,753",26 MPG,4.6 ,4.9 
193,Certified 2017 Toyota 86 Coupe,"$18,764",24 MPG,4.6 ,5 
194,Certified 2017 Honda Odyssey Van/Minivan,"$18,939",22 MPG,4.6 ,4.4 
195,Certified 2018 Chrysler Pacifica Van/Minivan,"$18,950",22 MPG,4.6 ,4.2 
196,Certified 2016 Audi Q3 SUV,"$19,792",23 MPG,4.6 ,5 
197,Certified 2017 Honda Accord Hybrid Sedan,"$19,801",48 MPG,4.6 ,4.8 
198,Certified 2019 Toyota Camry Sedan,"$20,020",32 MPG,4.6 ,3.9 
199,Certified 2016 Ford F150 Super Cab Pickup,"$20,109",17 MPG,4.6 ,4.6 
200,Certified 2019 Honda HR‑V SUV,"$20,112",29 MPG,4.6 ,4.3 
201,Certified 2015 Toyota Highlander SUV,"$20,221",20 MPG,4.6 ,4.3 
202,Certified 2017 Subaru BRZ Coupe,"$20,576",24 MPG,4.6 ,4.8 
203,Certified 2017 BMW 3 Series Sedan,"$20,699",27 MPG,4.6 ,4.5 
204,Certified 2018 Subaru BRZ Coupe,"$20,810",24 MPG,4.6 ,4.8 
205,Certified 2018 Toyota 86 Coupe,"$20,814",24 MPG,4.6 ,5 
206,Certified 2015 Ford F150 SuperCrew Cab Pickup,"$21,072",17 MPG,4.6 ,4.6 
207,Certified 2016 Lexus IS Sedan,"$21,359",26 MPG,4.6 ,4.5 
208,Certified 2017 BMW X1 SUV,"$21,685",26 MPG,4.6 ,4.2 
209,Certified 2016 Acura RDX SUV,"$22,573",22 MPG,4.6 ,4.4 
210,Certified 2018 Audi A3 Sedan,"$22,756",27 MPG,4.6 ,4.7 
211,Certified 2019 Toyota 86 Coupe,"$22,888",24 MPG,4.6 ,5 
212,Certified 2017 Mercedes‑Benz CLA Sedan,"$23,110",29 MPG,4.6 ,4.6 
213,Certified 2016 Ford F150 SuperCrew Cab Pickup,"$23,390",17 MPG,4.6 ,4.6 
214,Certified 2019 Subaru BRZ Coupe,"$23,680",24 MPG,4.6 ,4.8 
215,Certified 2019 Subaru Forester SUV,"$23,688",29 MPG,4.6 ,4.4 
216,Certified 2017 Chrysler Pacifica Hybrid Van/Minivan,"$24,030",32 MPG | 84 MPGe,4.6 ,5 
217,Certified 2019 Toyota Camry Hybrid Sedan,"$24,821",52 MPG,4.6 ,3.9 
218,Certified 2019 Audi A3 Sedan,"$25,192",25 MPG,4.6 ,4.7 
219,Certified 2017 INFINITI Q60 Coupe,"$25,537",24 MPG,4.6 ,4.7 
220,Certified 2019 MAZDA MX‑5 Miata Convertible,"$25,721",29 MPG,4.6 ,4.9 
221,Certified 2018 Chrysler Pacifica Hybrid Van/Minivan,"$26,253",32 MPG | 84 MPGe,4.6 ,5 
222,Certified 2016 Mercedes‑Benz GLE SUV,"$26,550",20 MPG,4.6 ,4.6 
223,Certified 2017 Audi A6 Sedan,"$26,713",25 MPG,4.6 ,4.6 
224,Certified 2018 Mercedes‑Benz CLA Sedan,"$26,979",29 MPG,4.6 ,4.6 
225,Certified 2019 Honda Odyssey Van/Minivan,"$27,294",22 MPG,4.6 ,3.7 
226,Certified 2018 Audi A6 Sedan,"$28,929",26 MPG,4.6 ,4.6 
227,Certified 2018 Audi A3 Sportback e‑tron Wagon,"$29,187",36 MPG | 83 MPGe,4.6 ,4.8 
228,Certified 2019 Honda Passport SUV,"$29,200",21 MPG,4.6 ,4.3 
229,Certified 2019 MAZDA MX‑5 Miata RF Convertible,"$29,709",29 MPG,4.6 ,4.9 
230,Certified 2017 Volvo XC90 SUV,"$29,900",23 MPG,4.6 ,3.9 
231,Certified 2018 Buick Enclave SUV,"$30,149",20 MPG,4.6 ,4.3 
232,Certified 2019 BMW X2 SUV,"$30,414",26 MPG,4.6 ,5 
233,Certified 2019 Volvo S60 Sedan,"$30,650",28 MPG,4.6 ,3.7 
234,Certified 2019 Ram 1500 Crew Cab Pickup,"$31,168",17 MPG,4.6 ,4.1 
235,Certified 2018 Audi S3 Sedan,"$31,779",25 MPG,4.6 ,4.5 
236,Certified 2017 Lexus RX SUV,"$32,301",22 MPG,4.6 ,4 
237,Certified 2017 Chevrolet Tahoe SUV,"$32,306",18 MPG,4.6 ,4 
238,Certified 2019 Acura RDX SUV,"$32,579",24 MPG,4.6 ,4.2 
239,Certified 2017 BMW X5 SUV,"$33,000",21 MPG,4.6 ,4.4 
240,Certified 2018 Volvo XC90 SUV,"$34,850",25 MPG,4.6 ,3.9 
241,Certified 2018 BMW 5 Series Sedan,"$35,527",29 MPG | 72 MPGe,4.6 ,5 
242,Certified 2019 Acura MDX SUV,"$36,200",23 MPG,4.6 ,4.1 
243,Certified 2018 Chevrolet Tahoe SUV,"$37,299",18 MPG,4.6 ,4 
244,Certified 2018 Lexus RX SUV,"$37,479",22 MPG,4.6 ,4 
245,Certified 2019 Mercedes‑Benz GLC SUV,"$38,142",24 MPG,4.6 ,4 
246,Certified 2017 Mercedes‑Benz Mercedes‑AMG CLA Sedan,"$38,336",26 MPG,4.6 ,4.6 
247,Certified 2019 BMW 3 Series Sedan,"$38,373",27 MPG,4.6 ,4.6 
248,Certified 2019 BMW 5 Series Sedan,"$40,503",27 MPG,4.6 ,5 
249,Certified 2018 BMW X5 SUV,"$41,100",21 MPG,4.6 ,4.4 
250,Certified 2018 Mercedes‑Benz Mercedes‑AMG CLA Sedan,"$41,609",26 MPG,4.6 ,4.6 
251,Certified 2019 Acura MDX Sport Hybrid SUV,"$42,300",27 MPG,4.6 ,4.1 
252,Certified 2017 Audi S6 Sedan,"$43,076",21 MPG,4.6 ,4.8 
253,Certified 2016 BMW M3 Sedan,"$44,500",19 MPG,4.6 ,4.7 
254,Certified 2018 Audi RS 3 Sedan,"$46,359",22 MPG,4.6 ,5 
255,Certified 2018 Audi A7 Sedan,"$46,532",23 MPG,4.6 ,4.7 
256,Certified 2019 Mercedes‑Benz E‑Class Sedan,"$46,664",25 MPG,4.6 ,4.5 
257,Certified 2018 Mercedes‑Benz Mercedes‑AMG GLC SUV,"$47,217",20 MPG,4.6 ,4 
258,Certified 2016 Mercedes‑Benz Mercedes‑AMG GLE SUV,"$50,200",15 MPG,4.6 ,4.6 
259,Certified 2017 BMW M3 Sedan,"$51,264",19 MPG,4.6 ,4.7 
260,Certified 2018 Audi S7 Sedan,"$57,996",18 MPG,4.6 ,4.9 
261,Certified 2017 BMW X5 M SUV,"$58,119",16 MPG,4.6 ,4.4 
262,Certified 2019 Mercedes‑Benz Mercedes‑AMG GLC SUV,"$58,433",21 MPG,4.6 ,4 
263,Certified 2019 Porsche Cayenne SUV,"$64,380",20 MPG,4.6 ,5 
264,Certified 2018 BMW X5 M SUV,"$70,600",16 MPG,4.6 ,4.4 
265,Certified 2018 BMW M5 Sedan,"$87,500",17 MPG,4.6 ,5 
266,New 2020 Kia Forte Sedan,"$18,855",31 MPG,4.5 ,4.4 
267,New 2020 Hyundai Elantra Sedan,"$20,275",35 MPG,4.5 ,4.3 
268,New 2020 Hyundai Kona SUV,"$21,440",30 MPG,4.5 ,4.6 
269,New 2020 Chrysler Voyager Van/Minivan,"$28,480",22 MPG,4.5 ,4.2 
270,New 2020 Subaru Ascent SUV,"$33,005",23 MPG,4.5 ,4 
271,New 2020 Chrysler Pacifica Van/Minivan,"$34,990",22 MPG,4.5 ,4.2 
272,New 2020 Ram 1500 Crew Cab Pickup,"$36,640",17 MPG,4.5 ,4.1 
273,New 2020 INFINITI Q50 Sedan,"$37,425",23 MPG,4.5 ,4.3 
274,New 2020 Hyundai Kona Electric SUV,"$38,330",120 MPGe,4.5 ,4.6 
275,New 2020 Lexus IS Sedan,"$39,585",24 MPG,4.5 ,4.5 
276,New 2020 Buick Enclave SUV,"$41,195",21 MPG,4.5 ,4.3 
277,New 2020 Lexus RX SUV,"$45,175",23 MPG,4.5 ,4 
278,New 2020 Porsche Cayenne SUV,"$68,150",20 MPG,4.5 ,5 
279,New 2019 BMW i3 Hatchback,"$45,445",113 MPGe,4.5 ,4.5 
280,New 2019 Mercedes‑Benz Mercedes‑AMG GLE SUV,"$69,145",19 MPG,4.5 ,4.6 
281,Certified 2015 Ford Fiesta Sedan,"$7,044",31 MPG,4.5 ,3.9 
282,Used 2015 Hyundai Accent Sedan,"$7,717",30 MPG,4.5 ,4.4 
283,Certified 2015 Chevrolet Sonic Sedan,"$7,978",28 MPG,4.5 ,4.3 
284,Certified 2016 Hyundai Accent Sedan,"$9,074",30 MPG,4.5 ,4.4 
285,Used 2015 Kia Sedona Van/Minivan,"$10,998",20 MPG,4.5 ,4.3 
286,Used 2014 Honda Odyssey Van/Minivan,"$11,180",22 MPG,4.5 ,4.4 
287,Certified 2015 MAZDA MAZDA6 Sedan,"$11,959",29 MPG,4.5 ,4.8 
288,Certified 2016 MAZDA MAZDA3 Hatchback,"$12,153",33 MPG,4.5 ,4.7 
289,Certified 2017 Hyundai Elantra GT Hatchback,"$12,696",27 MPG,4.5 ,4.2 
290,Certified 2016 MAZDA MAZDA6 Sedan,"$12,952",29 MPG,4.5 ,4.8 
291,Certified 2017 Hyundai Elantra Sedan,"$13,067",29 MPG,4.5 ,4.3 
292,Certified 2017 Hyundai Sonata Sedan,"$13,178",29 MPG,4.5 ,4.5 
293,Certified 2017 MAZDA MAZDA3 Hatchback,"$13,259",31 MPG,4.5 ,4.7 
294,Certified 2018 Hyundai Elantra Sedan,"$13,717",29 MPG,4.5 ,4.3 
295,Certified 2016 Hyundai Sonata Hybrid Sedan,"$13,754",42 MPG,4.5 ,4.3 
296,Certified 2016 Kia Optima Sedan,"$13,782",30 MPG,4.5 ,4.3 
297,Certified 2016 Toyota Camry Sedan,"$14,190",28 MPG,4.5 ,4.4 
298,Certified 2015 Toyota Tacoma Access Cab Pickup,"$14,400",17 MPG,4.5 ,4.7 
299,Certified 2017 Kia Optima Sedan,"$14,720",28 MPG,4.5 ,4.3 
300,Certified 2016 Subaru Forester SUV,"$14,735",25 MPG,4.5 ,4.3 
301,Certified 2015 Subaru XV Crosstrek SUV,"$14,983",31 MPG,4.5 ,4.4 
302,Certified 2018 Nissan Kicks SUV,"$15,156",33 MPG,4.5 ,3.5 
303,Certified 2017 Chevrolet Impala Sedan,"$15,290",22 MPG,4.5 ,4.7 
304,Used 2015 Jeep Grand Cherokee SUV,"$15,400",19 MPG,4.5 ,4.4 
305,Certified 2016 Subaru Crosstrek SUV,"$15,478",26 MPG,4.5 ,4.4 
306,Certified 2019 Hyundai Elantra Sedan,"$15,637",29 MPG,4.5 ,4.3 
307,Certified 2017 Kia Optima Hybrid Sedan,"$15,809",42 MPG,4.5 ,4.2 
308,Certified 2016 Toyota Prius Hatchback,"$15,844",52 MPG,4.5 ,4.6 
309,Certified 2018 Hyundai Elantra GT Hatchback,"$15,926",26 MPG,4.5 ,4.3 
310,Certified 2017 Kia Sportage SUV,"$15,984",23 MPG,4.5 ,4.7 
311,Used 2015 Ram 1500 Regular Cab Pickup,"$16,072",15 MPG,4.5 ,4.6 
312,Certified 2017 Toyota Camry Sedan,"$16,151",27 MPG,4.5 ,4.4 
313,Certified 2017 Kia Niro Wagon,"$16,200",50 MPG,4.5 ,4.8 
314,Certified 2017 Nissan Rogue Sport SUV,"$16,448",27 MPG,4.5 ,4.3 
315,Certified 2016 Toyota Prius v Wagon,"$16,682",42 MPG,4.5 ,4.4 
316,Certified 2017 Hyundai Ioniq Hybrid Hatchback,"$16,694",58 MPG,4.5 ,4.3 
317,Used 2015 Hyundai Genesis Sedan,"$16,909",19 MPG,4.5 ,4.7 
318,Certified 2016 Chevrolet Volt Sedan,"$17,151",42 MPG | 106 MPGe,4.5 ,4.7 
319,Certified 2018 Hyundai Kona SUV,"$17,203",27 MPG,4.5 ,4.6 
320,Certified 2016 Hyundai Sonata Plug‑in Hybrid Sedan,"$17,235",40 MPG | 99 MPGe,4.5 ,4 
321,Certified 2018 Chevrolet Impala Sedan,"$17,256",22 MPG,4.5 ,4.7 
322,Certified 2017 Subaru Forester SUV,"$17,279",24 MPG,4.5 ,4.3 
323,Certified 2019 Hyundai Elantra GT Hatchback,"$17,464",27 MPG,4.5 ,4.3 
324,Certified 2019 Hyundai Kona SUV,"$17,546",27 MPG,4.5 ,4.6 
325,Certified 2016 Toyota Tacoma Access Cab Pickup,"$17,550",20 MPG,4.5 ,4.3 
326,Certified 2016 Toyota Sienna Van/Minivan,"$17,758",21 MPG,4.5 ,4.4 
327,Certified 2019 Nissan Kicks SUV,"$17,822",33 MPG,4.5 ,3.5 
328,Certified 2016 Lexus CT Hatchback,"$17,988",42 MPG,4.5 ,4.8 
329,Certified 2016 Ram 1500 Regular Cab Pickup,"$18,172",15 MPG,4.5 ,4.6 
330,Certified 2017 Chevrolet Volt Hatchback,"$18,261",42 MPG | 106 MPGe,4.5 ,4.7 
331,Certified 2016 Toyota RAV4 SUV,"$18,286",25 MPG,4.5 ,4.4 
332,Certified 2017 Kia Optima Plug‑in Hybrid Sedan,"$18,347",40 MPG | 103 MPGe,4.5 ,4.2 
333,Certified 2018 GMC Terrain SUV,"$18,385",28 MPG,4.5 ,3.9 
334,Certified 2016 Audi A4 Sedan,"$18,525",25 MPG,4.5 ,4.5 
335,Certified 2016 Chevrolet Camaro Coupe,"$18,685",21 MPG,4.5 ,4.5 
336,Certified 2017 Hyundai Ioniq Electric Hatchback,"$18,700",136 MPGe,4.5 ,4.3 
337,Used 2015 Ram 1500 Crew Cab Pickup,"$18,777",15 MPG,4.5 ,4.6 
338,Used 2015 Ram 1500 Quad Cab Pickup,"$18,911",15 MPG,4.5 ,4.6 
339,Certified 2019 MAZDA MAZDA3 Sedan,"$18,980",30 MPG,4.5 ,4.9 
340,Certified 2017 Hyundai Sonata Plug‑in Hybrid Sedan,"$18,997",39 MPG | 99 MPGe,4.5 ,4 
341,Certified 2017 Toyota Camry Hybrid Sedan,"$19,133",40 MPG,4.5 ,4.4 
342,Certified 2017 Toyota RAV4 SUV,"$19,145",25 MPG,4.5 ,4.4 
343,Certified 2017 Toyota Sienna Van/Minivan,"$19,268",22 MPG,4.5 ,4.4 
344,Certified 2017 Ford F150 Regular Cab Pickup,"$19,552",17 MPG,4.5 ,4.6 
345,Certified 2018 FIAT 124 Spider Convertible,"$19,581",29 MPG,4.5 ,4.9 
346,Certified 2019 Chevrolet Impala Sedan,"$20,286",22 MPG,4.5 ,4.7 
347,Certified 2018 Nissan LEAF Hatchback,"$20,500",112 MPGe,4.5 ,3.9 
348,Certified 2017 INFINITI Q50 Sedan,"$20,766",24 MPG,4.5 ,4.3 
349,Certified 2016 Hyundai Genesis Sedan,"$21,309",19 MPG,4.5 ,4.7 
350,Certified 2015 Toyota Tacoma Double Cab Pickup,"$21,350",19 MPG,4.5 ,4.7 
351,Certified 2016 Lexus NX SUV,"$21,431",24 MPG,4.5 ,4.4 
352,Certified 2016 Ram 1500 Quad Cab Pickup,"$21,611",15 MPG,4.5 ,4.6 
353,Certified 2018 Ford F150 Regular Cab Pickup,"$21,706",18 MPG,4.5 ,4.6 
354,Certified 2016 Ram 1500 Quad Cab Pickup,"$21,611",15 MPG,4.5 ,4.6 
355,Certified 2016 Ram 1500 Crew Cab Pickup,"$21,751",15 MPG,4.5 ,4.6 
356,Certified 2017 Ford F150 Super Cab Pickup,"$21,802",16 MPG,4.5 ,4.6 
357,Certified 2016 Toyota Highlander SUV,"$21,900",20 MPG,4.5 ,4.3 
358,Certified 2017 Toyota RAV4 Hybrid SUV,"$22,103",32 MPG,4.5 ,4.4 
359,Certified 2019 Chrysler Pacifica Van/Minivan,"$22,133",22 MPG,4.5 ,4.2 
360,Certified 2017 Audi Q3 SUV,"$22,303",23 MPG,4.5 ,5 
361,Certified 2016 Audi Q5 SUV,"$22,419",23 MPG,4.5 ,4.4 
362,Certified 2019 FIAT 124 Spider Convertible,"$22,880",29 MPG,4.5 ,4.9 
363,Certified 2016 Lexus GS Sedan,"$22,948",26 MPG,4.5 ,4.7 
364,Certified 2018 INFINITI Q50 Sedan,"$23,464",24 MPG,4.5 ,4.3 
365,Certified 2018 Volkswagen Atlas SUV,"$23,529",20 MPG,4.5 ,4.1 
366,Certified 2018 Chevrolet Traverse SUV,"$24,056",20 MPG,4.5 ,4.3 
367,Certified 2017 Acura RDX SUV,"$24,175",22 MPG,4.5 ,4.4 
368,Certified 2016 Toyota Tacoma Double Cab Pickup,"$24,500",20 MPG,4.5 ,4.3 
369,Certified 2018 Audi Q3 SUV,"$24,627",23 MPG,4.5 ,5 
370,Certified 2017 Lexus IS Sedan,"$24,719",26 MPG,4.5 ,4.5 
371,Certified 2017 Lexus NX SUV,"$24,938",24 MPG,4.5 ,4.4 
372,Certified 2017 Toyota Highlander SUV,"$25,150",22 MPG,4.5 ,4.3 
373,Certified 2018 Jeep Wrangler SUV,"$25,300",18 MPG,4.5 ,4.6 
374,Certified 2018 BMW 3 Series Sedan,"$25,716",27 MPG,4.5 ,4.5 
375,Certified 2018 Ford F150 Super Cab Pickup,"$25,795",18 MPG,4.5 ,4.6 
376,Certified 2017 Toyota Highlander Hybrid SUV,"$26,150",28 MPG,4.5 ,4.5 
377,Certified 2018 BMW 2 Series Coupe,"$26,151",25 MPG,4.5 ,4.9 
378,Certified 2019 INFINITI Q50 Sedan,"$26,400",24 MPG,4.5 ,4.3 
379,Certified 2017 Ford F150 SuperCrew Cab Pickup,"$26,800",17 MPG,4.5 ,4.6 
380,Certified 2019 Subaru Ascent SUV,"$27,100",23 MPG,4.5 ,4 
381,Certified 2018 BMW X1 SUV,"$27,521",26 MPG,4.5 ,4.2 
382,Certified 2018 Ford F150 SuperCrew Cab Pickup,"$27,717",17 MPG,4.5 ,4.6 
383,Certified 2018 Acura RDX SUV,"$27,818",22 MPG,4.5 ,4.4 
384,Used 2015 GMC Yukon XL SUV,"$27,958",18 MPG,4.5 ,3.9 
385,Certified 2018 INFINITI Q60 Coupe,"$28,185",24 MPG,4.5 ,4.7 
386,Certified 2017 Lexus GS Sedan,"$28,596",26 MPG,4.5 ,4.7 
387,Certified 2019 Mercedes‑Benz CLA Sedan,"$28,613",29 MPG,4.5 ,4.6 
388,Certified 2018 Jeep Wrangler Unlimited SUV,"$28,750",18 MPG,4.5 ,4.6 
389,Certified 2018 Lexus IS Sedan,"$29,090",22 MPG,4.5 ,4.5 
390,Certified 2016 Audi S4 Sedan,"$29,480",20 MPG,4.5 ,4.9 
391,Certified 2015 GMC Yukon SUV,"$30,538",18 MPG,4.5 ,3.9 
392,Certified 2017 Mercedes‑Benz GLE SUV,"$31,250",20 MPG,4.5 ,4.6 
393,Certified 2016 Porsche Cayenne SUV,"$31,280",21 MPG,4.5 ,4.5 
394,Certified 2019 BMW 2 Series Coupe,"$31,281",25 MPG,4.5 ,4.9 
395,Certified 2016 GMC Yukon XL SUV,"$32,032",18 MPG,4.5 ,3.9 
396,Certified 2019 Lexus IS Sedan,"$32,188",21 MPG,4.5 ,4.5 
397,Certified 2019 Hyundai Kona Electric SUV,"$32,300",120 MPGe,4.5 ,4.6 
398,Certified 2016 GMC Yukon SUV,"$32,500",18 MPG,4.5 ,3.9 
399,Certified 2019 BMW X1 SUV,"$32,733",26 MPG,4.5 ,4.2 
400,Certified 2019 Buick Enclave SUV,"$32,950",20 MPG,4.5 ,4.3 
401,Certified 2016 Audi SQ5 SUV,"$33,291",19 MPG,4.5 ,4.7 
402,Certified 2016 Audi SQ5 SUV,"$33,541",19 MPG,4.5 ,4.7 
403,Certified 2019 INFINITI Q60 Coupe,"$33,800",22 MPG,4.5 ,4.7 
404,Certified 2018 Mercedes‑Benz GLE SUV,"$35,650",20 MPG,4.5 ,4.6 
405,Certified 2019 Chevrolet Tahoe SUV,"$38,262",18 MPG,4.5 ,4 
406,Certified 2017 Porsche Cayenne SUV,"$38,480",20 MPG,4.5 ,4.5 
407,Certified 2019 Volvo XC90 SUV,"$40,600",25 MPG,4.5 ,3.9 
408,Certified 2019 Lexus RX SUV,"$41,300",22 MPG,4.5 ,4 
409,Certified 2017 Mercedes‑Benz Mercedes‑AMG GLE SUV,"$42,100",20 MPG,4.5 ,4.6 
410,Certified 2019 Mercedes‑Benz GLE SUV,"$46,300",20 MPG,4.5 ,4.6 
411,Certified 2018 Mercedes‑Benz Mercedes‑AMG GLE SUV,"$49,000",19 MPG,4.5 ,4.6 
412,Certified 2020 Chevrolet Tahoe SUV,"$49,300",17 MPG,4.5 ,4 
413,Certified 2018 BMW M3 Sedan,"$54,481",20 MPG,4.5 ,4.7 
414,Certified 2017 BMW M6 Coupe,"$57,777",16 MPG,4.5 ,5 
415,New 2020 Hyundai Veloster Coupe,"$19,775",28 MPG,4.4 ,5 
416,New 2020 Toyota C‑HR SUV,"$22,415",29 MPG,4.4 ,4.5 
417,New 2020 MAZDA MAZDA3 Sedan,"$22,445",30 MPG,4.4 ,4.9 
418,New 2020 Subaru Legacy Sedan,"$23,630",30 MPG,4.4 ,4.8 
419,New 2020 Kia Optima Sedan,"$24,355",27 MPG,4.4 ,4.3 
420,New 2020 Chevrolet Equinox SUV,"$24,995",28 MPG,4.4 ,4.1 
421,New 2020 Nissan Altima Sedan,"$25,025",32 MPG,4.4 ,4.5 
422,New 2020 Kia Sportage SUV,"$25,110",26 MPG,4.4 ,4.7 
423,New 2020 Toyota Prius Hatchback,"$25,280",52 MPG,4.4 ,4.6 
424,New 2020 GMC Terrain SUV,"$26,195",27 MPG,4.4 ,3.9 
425,New 2020 Acura ILX Sedan,"$26,925",28 MPG,4.4 ,4.4 
426,New 2020 Jeep Wrangler SUV,"$29,790",20 MPG,4.4 ,4.8 
427,New 2020 Kia Optima Hybrid Sedan,"$30,235",42 MPG,4.4 ,4.2 
428,New 2020 Chevrolet Traverse SUV,"$30,995",21 MPG,4.4 ,4.3 
429,New 2020 Toyota Sienna Van/Minivan,"$32,760",21 MPG,4.4 ,4.4 
430,New 2020 Jeep Wrangler Unlimited SUV,"$33,290",19 MPG,4.4 ,4.8 
431,New 2020 Ford F150 SuperCrew Cab Pickup,"$36,630",19 MPG,4.4 ,4.6 
432,New 2020 Kia Optima Plug‑in Hybrid Sedan,"$37,150",41 MPG | 101 MPGe,4.4 ,4.2 
433,New 2020 Lexus NX SUV,"$37,895",25 MPG,4.4 ,4.4 
434,New 2020 INFINITI QX50 SUV,"$38,275",26 MPG,4.4 ,4.4 
435,New 2020 BMW X3 SUV,"$42,945",27 MPG,4.4 ,4.1 
436,New 2020 Lexus GS Sedan,"$52,090",21 MPG,4.4 ,4.7 
437,New 2019 Hyundai Sonata Hybrid Sedan,"$26,680",42 MPG,4.4 ,4.3 
438,New 2019 Ram 1500 Classic Regular Cab Pickup,"$29,090",17 MPG,4.4 ,4.6 
439,New 2019 Kia Niro Plug‑in Hybrid Wagon,"$29,545",46 MPG | 105 MPGe,4.4 ,4.8 
440,New 2019 INFINITI QX30 SUV,"$31,175",27 MPG,4.4 ,3.8 
441,New 2019 Ram 1500 Classic Quad Cab Pickup,"$32,990",17 MPG,4.4 ,4.6 
442,New 2019 Hyundai Sonata Plug‑in Hybrid Sedan,"$34,355",39 MPG | 99 MPGe,4.4 ,4 
443,New 2019 Chevrolet Volt Sedan,"$34,395",42 MPG | 106 MPGe,4.4 ,4.7 
444,New 2019 Kia Niro EV Wagon,"$39,545",112 MPGe,4.4 ,4.3 
445,Used 2015 Kia Rio Sedan,"$7,387",31 MPG,4.4 ,4.3 
446,Certified 2016 Ford Fiesta Hatchback,"$7,960",30 MPG,4.4 ,3.9 
447,Certified 2016 Nissan Versa Note Hatchback,"$8,111",30 MPG,4.4 ,3.9 
448,Certified 2016 Chevrolet Sonic Sedan,"$8,792",28 MPG,4.4 ,4.3 
449,Certified 2017 Ford Fiesta Sedan,"$9,113",30 MPG,4.4 ,3.9 
450,Used 2015 Kia Forte Sedan,"$9,384",30 MPG,4.4 ,4.6 
451,Used 2015 Kia Forte Koup Coupe,"$9,934",27 MPG,4.4 ,4.6 
452,Certified 2017 Nissan Versa Note Hatchback,"$10,009",34 MPG,4.4 ,3.9 
453,Used 2015 Kia Soul Wagon,"$10,185",26 MPG,4.4 ,4.5 
454,Used 2015 Kia Forte5 Hatchback,"$10,271",28 MPG,4.4 ,4.6 
455,Certified 2017 Chevrolet Sonic Sedan,"$10,791",28 MPG,4.4 ,4.3 
456,Certified 2017 Hyundai Accent Sedan,"$10,864",30 MPG,4.4 ,4.4 
457,Certified 2016 Chevrolet Cruze Sedan,"$11,405",33 MPG,4.4 ,4.4 
458,Used 2015 Kia Soul EV Wagon,"$11,755",105 MPGe,4.4 ,4.8 
459,Certified 2016 Kia Soul Wagon,"$11,918",26 MPG,4.4 ,4.5 
460,Certified 2015 Nissan Rogue SUV,"$12,271",28 MPG,4.4 ,4.3 
461,Certified 2015 GMC Canyon Extended Cab Pickup,"$12,319",22 MPG,4.4 ,4.6 
462,Certified 2016 Kia Soul EV Wagon,"$12,577",105 MPGe,4.4 ,4.8 
463,Certified 2018 Hyundai Accent Sedan,"$13,098",31 MPG,4.4 ,5 
464,Used 2016 Hyundai Tucson SUV,"$13,672",23 MPG,4.4 ,4.3 
465,Certified 2016 MAZDA CX‑3 SUV,"$13,790",29 MPG,4.4 ,4.7 
466,Used 2016 Kia Sedona Van/Minivan,"$13,958",20 MPG,4.4 ,4.3 
